Entry	Entry name	Protein names	Gene names
O43781	DYRK3_HUMAN	Dual specificity tyrosine-phosphorylation-regulated kinase 3 (EC 2.7.12.1) (Regulatory erythroid kinase) (REDK)	DYRK3
P49137	MAPK2_HUMAN	MAP kinase-activated protein kinase 2 (MAPK-activated protein kinase 2) (MAPKAP kinase 2) (MAPKAP-K2) (MAPKAPK-2) (MK-2) (MK2) (EC 2.7.11.1)	MAPKAPK2
P22301	IL10_HUMAN	Interleukin-10 (IL-10) (Cytokine synthesis inhibitory factor) (CSIF)	IL10
Q9UHD0	IL19_HUMAN	Interleukin-19 (IL-19) (Melanoma differentiation-associated protein-like protein) (NG.1)	IL19 ZMDA1
Q9NYY1	IL20_HUMAN	Interleukin-20 (IL-20) (Cytokine Zcyto10)	IL20 ZCYTO10 UNQ852/PRO1801
Q9UHF5	IL17B_HUMAN	Interleukin-17B (IL-17B) (Cytokine Zcyto7) (Interleukin-20) (IL-20) (Neuronal interleukin-17-related factor)	IL17B IL20 NIRF ZCYTO7 UNQ516/PRO1031
Q13007	IL24_HUMAN	Interleukin-24 (IL-24) (Melanoma differentiation-associated gene 7 protein) (MDA-7) (Suppression of tumorigenicity 16 protein)	IL24 MDA7 ST16
O60825	F262_HUMAN	6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2 (6PF-2-K/Fru-2,6-P2ase 2) (PFK/FBPase 2) (6PF-2-K/Fru-2,6-P2ase heart-type isozyme) [Includes: 6-phosphofructo-2-kinase (EC 2.7.1.105); Fructose-2,6-bisphosphatase (EC 3.1.3.46)]	PFKFB2
P20851	C4BPB_HUMAN	C4b-binding protein beta chain	C4BPB
P04003	C4BPA_HUMAN	C4b-binding protein alpha chain (C4bp) (Proline-rich protein) (PRP)	C4BPA C4BP
P08174	DAF_HUMAN	Complement decay-accelerating factor (CD antigen CD55)	CD55 CR DAF
P20023	CR2_HUMAN	Complement receptor type 2 (Cr2) (Complement C3d receptor) (Epstein-Barr virus receptor) (EBV receptor) (CD antigen CD21)	CR2 C3DR
P17927	CR1_HUMAN	Complement receptor type 1 (C3b/C4b receptor) (CD antigen CD35)	CR1 C3BR
P15529	MCP_HUMAN	Membrane cofactor protein (TLX) (Trophoblast leukocyte common antigen) (CD antigen CD46)	CD46 MCP MIC10
Q96NX5	KCC1G_HUMAN	Calcium/calmodulin-dependent protein kinase type 1G (EC 2.7.11.17) (CaM kinase I gamma) (CaM kinase IG) (CaM-KI gamma) (CaMKI gamma) (CaMKIG) (CaMK-like CREB kinase III) (CLICK III)	CAMK1G CLICK3 VWS1
P28845	DHI1_HUMAN	11-beta-hydroxysteroid dehydrogenase 1 (11-DH) (11-beta-HSD1) (EC 1.1.1.146) (7-oxosteroid reductase) (EC 1.1.1.201) (Corticosteroid 11-beta-dehydrogenase isozyme 1) (Short chain dehydrogenase/reductase family 26C member 1)	HSD11B1 HSD11 HSD11L SDR26C1
O95259	KCNH1_HUMAN	Potassium voltage-gated channel subfamily H member 1 (Ether-a-go-go potassium channel 1) (EAG channel 1) (h-eag) (hEAG1) (Voltage-gated potassium channel subunit Kv10.1)	KCNH1 EAG EAG1
O95069	KCNK2_HUMAN	Potassium channel subfamily K member 2 (Outward rectifying potassium channel protein TREK-1) (TREK-1 K(+) channel subunit) (Two pore domain potassium channel TREK-1) (Two pore potassium channel TPKC1)	KCNK2 TREK TREK1
Q13303	KCAB2_HUMAN	Voltage-gated potassium channel subunit beta-2 (EC 1.1.1.-) (K(+) channel subunit beta-2) (Kv-beta-2) (hKvbeta2)	KCNAB2 KCNA2B KCNK2
P62508	ERR3_HUMAN	Estrogen-related receptor gamma (ERR gamma-2) (Estrogen receptor-related protein 3) (Nuclear receptor subfamily 3 group B member 3)	ESRRG ERR3 ERRG2 KIAA0832 NR3B3
P61812	TGFB2_HUMAN	Transforming growth factor beta-2 proprotein (Cetermin) (Glioblastoma-derived T-cell suppressor factor) (G-TSF) [Cleaved into: Latency-associated peptide (LAP); Transforming growth factor beta-2 (TGF-beta-2)]	TGFB2
Q5VWZ2	LYPL1_HUMAN	Lysophospholipase-like protein 1 (EC 3.1.2.22)	LYPLAL1
O60602	TLR5_HUMAN	Toll-like receptor 5 (Toll/interleukin-1 receptor-like protein 3)	TLR5 TIL3
Q5VX71	SUSD4_HUMAN	Sushi domain-containing protein 4	SUSD4 UNQ196/PRO222
O15381	NVL_HUMAN	Nuclear valosin-containing protein-like (NVLp) (Nuclear VCP-like protein)	NVL NVL2
O75610	LFTY1_HUMAN	Left-right determination factor 1 (Left-right determination factor B) (Protein lefty-1) (Protein lefty-B)	LEFTY1 LEFTB LEFTYB UNQ278/PRO317
O00292	LFTY2_HUMAN	Left-right determination factor 2 (Endometrial bleeding-associated factor) (Left-right determination factor A) (Protein lefty-2) (Protein lefty-A) (Transforming growth factor beta-4) (TGF-beta-4)	LEFTY2 EBAF LEFTA LEFTYA TGFB4 PSEC0024
P09874	PARP1_HUMAN	Poly [ADP-ribose] polymerase 1 (PARP-1) (EC 2.4.2.30) (ADP-ribosyltransferase diphtheria toxin-like 1) (ARTD1) (DNA ADP-ribosyltransferase PARP1) (EC 2.4.2.-) (NAD(+) ADP-ribosyltransferase 1) (ADPRT 1) (Poly[ADP-ribose] synthase 1) (Protein poly-ADP-ribosyltransferase PARP1) (EC 2.4.2.-)	PARP1 ADPRT PPOL
P49810	PSN2_HUMAN	Presenilin-2 (PS-2) (EC 3.4.23.-) (AD3LP) (AD5) (E5-1) (STM-2) [Cleaved into: Presenilin-2 NTF subunit; Presenilin-2 CTF subunit]	PSEN2 AD4 PS2 PSNL2 STM2
Q5VT25	MRCKA_HUMAN	Serine/threonine-protein kinase MRCK alpha (EC 2.7.11.1) (CDC42-binding protein kinase alpha) (DMPK-like alpha) (Myotonic dystrophy kinase-related CDC42-binding kinase alpha) (MRCK alpha) (Myotonic dystrophy protein kinase-like alpha)	CDC42BPA KIAA0451
P84077	ARF1_HUMAN	ADP-ribosylation factor 1	ARF1
Q5T442	CXG2_HUMAN	Gap junction gamma-2 protein (Connexin-46.6) (Cx46.6) (Connexin-47) (Cx47) (Gap junction alpha-12 protein)	GJC2 GJA12
Q7L7L0	H2A3_HUMAN	Histone H2A type 3	H2AW HIST3H2A
Q7L0Q8	RHOU_HUMAN	Rho-related GTP-binding protein RhoU (CDC42-like GTPase 1) (GTP-binding protein-like 1) (Rho GTPase-like protein ARHU) (Ryu GTPase) (Wnt-1 responsive Cdc42 homolog 1) (WRCH-1)	RHOU ARHU CDC42L1 G28K WRCH1 SB128
P20338	RAB4A_HUMAN	Ras-related protein Rab-4A (EC 3.6.5.2)	RAB4A RAB4
P68133	ACTS_HUMAN	Actin, alpha skeletal muscle (Alpha-actin-1) [Cleaved into: Actin, alpha skeletal muscle, intermediate form]	ACTA1 ACTA
Q9NRK6	ABCBA_HUMAN	ATP-binding cassette sub-family B member 10, mitochondrial (ABC-mitochondrial erythroid protein) (ABC-me protein) (ATP-binding cassette transporter 10) (ABC transporter 10 protein) (Mitochondrial ATP-binding cassette 2) (M-ABC2)	ABCB10
P01019	ANGT_HUMAN	Angiotensinogen (Serpin A8) [Cleaved into: Angiotensin-1 (Angiotensin 1-10) (Angiotensin I) (Ang I); Angiotensin-2 (Angiotensin 1-8) (Angiotensin II) (Ang II); Angiotensin-3 (Angiotensin 2-8) (Angiotensin III) (Ang III) (Des-Asp[1]-angiotensin II); Angiotensin-4 (Angiotensin 3-8) (Angiotensin IV) (Ang IV); Angiotensin 1-9; Angiotensin 1-7; Angiotensin 1-5; Angiotensin 1-4]	AGT SERPINA8
Q5TCX8	M3K21_HUMAN	Mitogen-activated protein kinase kinase kinase 21 (EC 2.7.11.25) (Mitogen-activated protein kinase kinase kinase MLK4) (Mixed lineage kinase 4)	MAP3K21 KIAA1804 MLK4
O00180	KCNK1_HUMAN	Potassium channel subfamily K member 1 (Inward rectifying potassium channel protein TWIK-1) (Potassium channel K2P1) (Potassium channel KCNO1)	KCNK1 HOHO1 KCNO1 TWIK1
P35609	ACTN2_HUMAN	Alpha-actinin-2 (Alpha-actinin skeletal muscle isoform 2) (F-actin cross-linking protein)	ACTN2
P20309	ACM3_HUMAN	Muscarinic acetylcholine receptor M3	CHRM3
P49802	RGS7_HUMAN	Regulator of G-protein signaling 7 (RGS7)	RGS7
O15229	KMO_HUMAN	Kynurenine 3-monooxygenase (EC 1.14.13.9) (Kynurenine 3-hydroxylase)	KMO
Q9Y243	AKT3_HUMAN	RAC-gamma serine/threonine-protein kinase (EC 2.7.11.1) (Protein kinase Akt-3) (Protein kinase B gamma) (PKB gamma) (RAC-PK-gamma) (STK-2)	AKT3 PKBG
Q5VUJ9	DRC8_HUMAN	Dynein regulatory complex protein 8 (EF-hand calcium-binding domain-containing protein 2)	EFCAB2 DRC8
Q2KJY2	KI26B_HUMAN	Kinesin-like protein KIF26B	KIF26B
Q96P20	NLRP3_HUMAN	NACHT, LRR and PYD domains-containing protein 3 (Angiotensin/vasopressin receptor AII/AVP-like) (Caterpiller protein 1.1) (CLR1.1) (Cold-induced autoinflammatory syndrome 1 protein) (Cryopyrin) (PYRIN-containing APAF1-like protein 1)	NLRP3 C1orf7 CIAS1 NALP3 PYPAF1
Q3ZCM7	TBB8_HUMAN	Tubulin beta-8 chain (Tubulin beta 8 class VIII)	TUBB8
A6NHL2	TBAL3_HUMAN	Tubulin alpha chain-like 3	TUBAL3
Q9NZT1	CALL5_HUMAN	Calmodulin-like protein 5 (Calmodulin-like skin protein)	CALML5 CLSP
P27482	CALL3_HUMAN	Calmodulin-like protein 3 (CaM-like protein) (CLP) (Calmodulin-related protein NB-1)	CALML3
Q16875	F263_HUMAN	6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 3 (6PF-2-K/Fru-2,6-P2ase 3) (PFK/FBPase 3) (6PF-2-K/Fru-2,6-P2ase brain/placenta-type isozyme) (Renal carcinoma antigen NY-REN-56) (iPFK-2) [Includes: 6-phosphofructo-2-kinase (EC 2.7.1.105); Fructose-2,6-bisphosphatase (EC 3.1.3.46)]	PFKFB3
Q04759	KPCT_HUMAN	Protein kinase C theta type (EC 2.7.11.13) (nPKC-theta)	PRKCQ PRKCT
Q9UKK9	NUDT5_HUMAN	ADP-sugar pyrophosphatase (EC 3.6.1.13) (8-oxo-dGDP phosphatase) (EC 3.6.1.58) (Nuclear ATP-synthesis protein NUDIX5) (EC 2.7.7.96) (Nucleoside diphosphate-linked moiety X motif 5) (Nudix motif 5) (hNUDT5) (YSA1H)	NUDT5 NUDIX5 HSPC115
Q8IU85	KCC1D_HUMAN	Calcium/calmodulin-dependent protein kinase type 1D (EC 2.7.11.17) (CaM kinase I delta) (CaM kinase ID) (CaM-KI delta) (CaMKI delta) (CaMKID) (CaMKI-like protein kinase) (CKLiK)	CAMK1D CAMKID
Q96CV9	OPTN_HUMAN	Optineurin (E3-14.7K-interacting protein) (FIP-2) (Huntingtin yeast partner L) (Huntingtin-interacting protein 7) (HIP-7) (Huntingtin-interacting protein L) (NEMO-related protein) (Optic neuropathy-inducing protein) (Transcription factor IIIA-interacting protein) (TFIIIA-IntP)	OPTN FIP2 GLC1E HIP7 HYPL NRP
Q0VDF9	HSP7E_HUMAN	Heat shock 70 kDa protein 14 (HSP70-like protein 1) (Heat shock protein HSP60)	HSPA14 HSP60 HSP70L1
Q9H5I1	SUV92_HUMAN	Histone-lysine N-methyltransferase SUV39H2 (EC 2.1.1.355) (Histone H3-K9 methyltransferase 2) (H3-K9-HMTase 2) (Lysine N-methyltransferase 1B) (Suppressor of variegation 3-9 homolog 2) (Su(var)3-9 homolog 2)	SUV39H2 KMT1B
P53708	ITA8_HUMAN	Integrin alpha-8 [Cleaved into: Integrin alpha-8 heavy chain; Integrin alpha-8 light chain]	ITGA8
O60494	CUBN_HUMAN	Cubilin (460 kDa receptor) (Intestinal intrinsic factor receptor) (Intrinsic factor-cobalamin receptor) (Intrinsic factor-vitamin B12 receptor)	CUBN IFCR
O14717	TRDMT_HUMAN	tRNA (cytosine(38)-C(5))-methyltransferase (EC 2.1.1.204) (DNA (cytosine-5)-methyltransferase-like protein 2) (Dnmt2) (DNA methyltransferase homolog HsaIIP) (DNA MTase homolog HsaIIP) (M.HsaIIP) (PuMet)	TRDMT1 DNMT2
Q96KC2	ARL5B_HUMAN	ADP-ribosylation factor-like protein 5B (ADP-ribosylation factor-like protein 8)	ARL5B ARL8
P55197	AF10_HUMAN	Protein AF-10 (ALL1-fused gene from chromosome 10 protein)	MLLT10 AF10
P35226	BMI1_HUMAN	Polycomb complex protein BMI-1 (Polycomb group RING finger protein 4) (RING finger protein 51)	BMI1 PCGF4 RNF51
P48426	PI42A_HUMAN	Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha (EC 2.7.1.149) (1-phosphatidylinositol 5-phosphate 4-kinase 2-alpha) (Diphosphoinositide kinase 2-alpha) (PIP5KIII) (Phosphatidylinositol 5-Phosphate 4-Kinase) (PI5P4Kalpha) (Phosphatidylinositol 5-phosphate 4-kinase type II alpha) (PI(5)P 4-kinase type II alpha) (PIP4KII-alpha) (PtdIns(4)P-5-kinase B isoform) (PtdIns(4)P-5-kinase C isoform) (PtdIns(5)P-4-kinase isoform 2-alpha)	PIP4K2A PI5P4KA PIP5K2 PIP5K2A
Q5W041	ARMC3_HUMAN	Armadillo repeat-containing protein 3 (Beta-catenin-like protein) (Cancer/testis antigen 81) (CT81) (KU-CT-1)	ARMC3
Q9NP72	RAB18_HUMAN	Ras-related protein Rab-18	RAB18
Q5T2S8	ODAD2_HUMAN	Outer dynein arm-docking complex subunit 2 (Armadillo repeat-containing protein 4)	ODAD2 ARMC4
P41279	M3K8_HUMAN	Mitogen-activated protein kinase kinase kinase 8 (EC 2.7.11.25) (Cancer Osaka thyroid oncogene) (Proto-oncogene c-Cot) (Serine/threonine-protein kinase cot) (Tumor progression locus 2) (TPL-2)	MAP3K8 COT ESTF
P33176	KINH_HUMAN	Kinesin-1 heavy chain (Conventional kinesin heavy chain) (Ubiquitous kinesin heavy chain) (UKHC)	KIF5B KNS KNS1
P05556	ITB1_HUMAN	Integrin beta-1 (Fibronectin receptor subunit beta) (Glycoprotein IIa) (GPIIA) (VLA-4 subunit beta) (CD antigen CD29)	ITGB1 FNRB MDF2 MSK12
O14786	NRP1_HUMAN	Neuropilin-1 (Vascular endothelial cell growth factor 165 receptor) (CD antigen CD304)	NRP1 NRP VEGF165R
Q92832	NELL1_HUMAN	Protein kinase C-binding protein NELL1 (NEL-like protein 1) (Nel-related protein 1)	NELL1 NRP1
Q03060	CREM_HUMAN	cAMP-responsive element modulator (Inducible cAMP early repressor) (ICER)	CREM
Q96KN9	CXD4_HUMAN	Gap junction delta-4 protein (Connexin-40.1) (Cx40.1)	GJD4 CX40.1
Q9H461	FZD8_HUMAN	Frizzled-8 (Fz-8) (hFz8)	FZD8
P07949	RET_HUMAN	Proto-oncogene tyrosine-protein kinase receptor Ret (EC 2.7.10.1) (Cadherin family member 12) (Proto-oncogene c-Ret) [Cleaved into: Soluble RET kinase fragment; Extracellular cell-membrane anchored RET cadherin 120 kDa fragment]	RET CDHF12 CDHR16 PTC RET51
Q8N9B8	RGF1A_HUMAN	Ras-GEF domain-containing family member 1A	RASGEF1A
P09917	LOX5_HUMAN	Polyunsaturated fatty acid 5-lipoxygenase (EC 1.13.11.-) (Arachidonate 5-lipoxygenase) (5-LO) (5-lipoxygenase) (EC 1.13.11.34)	ALOX5 LOG5
Q96P64	AGAP4_HUMAN	Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 4 (AGAP-4) (Centaurin-gamma-like family member 1) (Centaurin-gamma-like family member 5)	AGAP4 AGAP8 CTGLF1 CTGLF5 MRIP2
P50391	NPY4R_HUMAN	Neuropeptide Y receptor type 4 (NPY4-R) (Pancreatic polypeptide receptor 1) (PP1)	NPY4R PPYR1
P55107	GDF10_HUMAN	Growth/differentiation factor 10 (GDF-10) (Bone morphogenetic protein 3B) (BMP-3B) (Bone-inducing protein) (BIP)	GDF10 BMP3B
Q9UK05	GDF2_HUMAN	Growth/differentiation factor 2 (GDF-2) (Bone morphogenetic protein 9) (BMP-9)	GDF2 BMP9
Q5VTM2	AGAP9_HUMAN	Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 9 (AGAP-9) (Centaurin-gamma-like family member 6)	AGAP9 CTGLF6
P0DQD5	NPY42_HUMAN	Neuropeptide Y receptor type 4-2	NPY4R2
P45983	MK08_HUMAN	Mitogen-activated protein kinase 8 (MAP kinase 8) (MAPK 8) (EC 2.7.11.24) (JNK-46) (Stress-activated protein kinase 1c) (SAPK1c) (Stress-activated protein kinase JNK1) (c-Jun N-terminal kinase 1)	MAPK8 JNK1 PRKM8 SAPK1 SAPK1C
P0DP91	ERPG3_HUMAN	Chimeric ERCC6-PGBD3 protein (Chimeric CSB-PGBD3 protein)	ERCC6
Q03468	ERCC6_HUMAN	DNA excision repair protein ERCC-6 (EC 3.6.4.-) (ATP-dependent helicase ERCC6) (Cockayne syndrome protein CSB)	ERCC6 CSB
P28329	CLAT_HUMAN	Choline O-acetyltransferase (CHOACTase) (ChAT) (Choline acetylase) (EC 2.3.1.6)	CHAT
Q16572	VACHT_HUMAN	Vesicular acetylcholine transporter (VAChT) (Solute carrier family 18 member 3)	SLC18A3 VACHT
Q5VW22	AGAP6_HUMAN	Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 6 (AGAP-6) (Centaurin-gamma-like family member 3)	AGAP6 CTGLF3
Q13976	KGP1_HUMAN	cGMP-dependent protein kinase 1 (cGK 1) (cGK1) (EC 2.7.11.12) (cGMP-dependent protein kinase I) (cGKI)	PRKG1 PRKG1B PRKGR1A PRKGR1B
Q7RTY1	MOT9_HUMAN	Monocarboxylate transporter 9 (MCT 9) (Solute carrier family 16 member 9)	SLC16A9 C10orf36 MCT9
P06493	CDK1_HUMAN	Cyclin-dependent kinase 1 (CDK1) (EC 2.7.11.22) (EC 2.7.11.23) (Cell division control protein 2 homolog) (Cell division protein kinase 1) (p34 protein kinase)	CDK1 CDC2 CDC28A CDKN1 P34CDC2
O94844	RHBT1_HUMAN	Rho-related BTB domain-containing protein 1	RHOBTB1 KIAA0740
Q86VH5	LRRT3_HUMAN	Leucine-rich repeat transmembrane neuronal protein 3	LRRTM3 UNQ803/PRO1693
Q96EB6	SIR1_HUMAN	NAD-dependent protein deacetylase sirtuin-1 (hSIRT1) (EC 2.3.1.286) (NAD-dependent protein deacylase sirtuin-1) (EC 2.3.1.-) (Regulatory protein SIR2 homolog 1) (SIR2-like protein 1) (hSIR2) [Cleaved into: SirtT1 75 kDa fragment (75SirT1)]	SIRT1 SIR2L1
Q5GLZ8	HERC4_HUMAN	Probable E3 ubiquitin-protein ligase HERC4 (EC 2.3.2.26) (HECT domain and RCC1-like domain-containing protein 4) (HECT-type E3 ubiquitin transferase HERC4)	HERC4 KIAA1593
Q8N100	ATOH7_HUMAN	Transcription factor ATOH7 (Atonal bHLH transcription factor 7) (Class A basic helix-loop-helix protein 13) (bHLHa13) (Protein atonal homolog 7)	ATOH7 ATH5 BHLHA13
Q2TB90	HKDC1_HUMAN	Hexokinase HKDC1 (EC 2.7.1.1) (Hexokinase domain-containing protein 1)	HKDC1
P19367	HXK1_HUMAN	Hexokinase-1 (EC 2.7.1.1) (Brain form hexokinase) (Hexokinase type I) (HK I) (Hexokinase-A)	HK1
P21452	NK2R_HUMAN	Substance-K receptor (SKR) (NK-2 receptor) (NK-2R) (Neurokinin A receptor) (Tachykinin receptor 2)	TACR2 NK2R NKNAR TAC2R
Q9Y4Z2	NGN3_HUMAN	Neurogenin-3 (NGN-3) (Class A basic helix-loop-helix protein 7) (bHLHa7) (Protein atonal homolog 5)	NEUROG3 ATOH5 BHLHA7 NGN3
Q9P0M6	H2AW_HUMAN	Core histone macro-H2A.2 (Histone macroH2A2) (mH2A2)	MACROH2A2 H2AFY2
Q9NR31	SAR1A_HUMAN	GTP-binding protein SAR1a (COPII-associated small GTPase)	SAR1A SAR1 SARA SARA1
Q9GZQ6	NPFF1_HUMAN	Neuropeptide FF receptor 1 (G-protein coupled receptor 147) (RFamide-related peptide receptor OT7T022)	NPFFR1 GPR147 NPFF1
Q96S42	NODAL_HUMAN	Nodal homolog	NODAL
P14222	PERF_HUMAN	Perforin-1 (P1) (Cytolysin) (Lymphocyte pore-forming protein) (PFP)	PRF1 PFP
Q8NE86	MCU_HUMAN	Calcium uniporter protein, mitochondrial (HsMCU) (Coiled-coil domain-containing protein 109A)	MCU C10orf42 CCDC109A
P16298	PP2BB_HUMAN	Serine/threonine-protein phosphatase 2B catalytic subunit beta isoform (EC 3.1.3.16) (CAM-PRP catalytic subunit) (Calmodulin-dependent calcineurin A subunit beta isoform) (CNA beta)	PPP3CB CALNA2 CALNB CNA2
A6NIR3	AGAP5_HUMAN	Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 5 (AGAP-5) (Centaurin-gamma-like family member 2)	AGAP5 CTGLF2
Q13555	KCC2G_HUMAN	Calcium/calmodulin-dependent protein kinase type II subunit gamma (CaM kinase II subunit gamma) (CaMK-II subunit gamma) (EC 2.7.11.17)	CAMK2G CAMK CAMK-II CAMKG
P55263	ADK_HUMAN	Adenosine kinase (AK) (EC 2.7.1.20) (Adenosine 5'-phosphotransferase)	ADK
Q8WYB5	KAT6B_HUMAN	Histone acetyltransferase KAT6B (EC 2.3.1.48) (Histone acetyltransferase MOZ2) (MOZ, YBF2/SAS3, SAS2 and TIP60 protein 4) (MYST-4) (Monocytic leukemia zinc finger protein-related factor)	KAT6B KIAA0383 MORF MOZ2 MYST4
Q12791	KCMA1_HUMAN	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (MaxiK) (Slo-alpha) (Slo1) (Slowpoke homolog) (Slo homolog) (hSlo)	KCNMA1 KCNMA SLO
A6NDA9	LRIT2_HUMAN	Leucine-rich repeat, immunoglobulin-like domain and transmembrane domain-containing protein 2 (Leucine-rich repeat-containing protein 22)	LRIT2 LRRC22
P47804	RGR_HUMAN	RPE-retinal G protein-coupled receptor	RGR
Q8IZJ4	RGDSR_HUMAN	Ral-GDS-related protein (hRGR) (Ral guanine nucleotide dissociation stimulator-like 4) (RalGDS-like 4)	RGL4 RGR
Q9ULK0	GRID1_HUMAN	Glutamate receptor ionotropic, delta-1 (GluD1) (GluR delta-1 subunit)	GRID1 KIAA1220
P36894	BMR1A_HUMAN	Bone morphogenetic protein receptor type-1A (BMP type-1A receptor) (BMPR-1A) (EC 2.7.11.30) (Activin receptor-like kinase 3) (ALK-3) (Serine/threonine-protein kinase receptor R5) (SKR5) (CD antigen CD292)	BMPR1A ACVRLK3 ALK3
P07098	LIPG_HUMAN	Gastric triacylglycerol lipase (GL) (Gastric lipase) (EC 3.1.1.3)	LIPF
Q5VXJ0	LIPK_HUMAN	Lipase member K (EC 3.1.1.-) (Lipase-like abhydrolase domain-containing protein 2)	LIPK LIPL2
Q5VXI9	LIPN_HUMAN	Lipase member N (EC 3.1.1.-) (Lipase-like abhydrolase domain-containing protein 4)	LIPN LIPL4
Q5VYY2	LIPM_HUMAN	Lipase member M (EC 3.1.1.-) (Lipase-like abhydrolase domain-containing protein 3)	LIPM LIPL3
Q5VYY1	ANR22_HUMAN	Ankyrin repeat domain-containing protein 22	ANKRD22
P62736	ACTA_HUMAN	Actin, aortic smooth muscle (Alpha-actin-2) (Cell growth-inhibiting gene 46 protein) [Cleaved into: Actin, aortic smooth muscle, intermediate form]	ACTA2 ACTSA ACTVS GIG46
O95992	CH25H_HUMAN	Cholesterol 25-hydroxylase (EC 1.14.99.38) (Cholesterol 25-monooxygenase) (h25OH)	CH25H
P38571	LICH_HUMAN	Lysosomal acid lipase/cholesteryl ester hydrolase (Acid cholesteryl ester hydrolase) (LAL) (EC 3.1.1.13) (Cholesteryl esterase) (Lipase A) (Sterol esterase)	LIPA
Q6ZSM3	MOT12_HUMAN	Monocarboxylate transporter 12 (MCT 12) (Creatine transporter 2) (CRT2) (Solute carrier family 16 member 12)	SLC16A12 MCT12
P34969	5HT7R_HUMAN	5-hydroxytryptamine receptor 7 (5-HT-7) (5-HT7) (5-HT-X) (Serotonin receptor 7)	HTR7
Q86SE9	PCGF5_HUMAN	Polycomb group RING finger protein 5 (RING finger protein 159)	PCGF5 RNF159
Q5U5R9	HECD2_HUMAN	Probable E3 ubiquitin-protein ligase HECTD2 (EC 2.3.2.26) (HECT domain-containing protein 2) (HECT-type E3 ubiquitin transferase HECTD2)	HECTD2
Q9H2K2	TNKS2_HUMAN	Poly [ADP-ribose] polymerase tankyrase-2 (EC 2.4.2.30) (ADP-ribosyltransferase diphtheria toxin-like 6) (ARTD6) (Poly [ADP-ribose] polymerase 5B) (Protein poly-ADP-ribosyltransferase tankyrase-2) (EC 2.4.2.-) (TNKS-2) (TRF1-interacting ankyrin-related ADP-ribose polymerase 2) (Tankyrase II) (Tankyrase-2) (TANK2) (Tankyrase-like protein) (Tankyrase-related protein)	TNKS2 PARP5B TANK2 TNKL
O14981	BTAF1_HUMAN	TATA-binding protein-associated factor 172 (EC 3.6.4.-) (ATP-dependent helicase BTAF1) (B-TFIID transcription factor-associated 170 kDa subunit) (TAF(II)170) (TBP-associated factor 172) (TAF-172)	BTAF1 TAF172
P52732	KIF11_HUMAN	Kinesin-like protein KIF11 (Kinesin-like protein 1) (Kinesin-like spindle protein HKSP) (Kinesin-related motor protein Eg5) (Thyroid receptor-interacting protein 5) (TR-interacting protein 5) (TRIP-5)	KIF11 EG5 KNSL1 TRIP5
Q5NUL3	FFAR4_HUMAN	Free fatty acid receptor 4 (G-protein coupled receptor 120) (G-protein coupled receptor 129) (G-protein coupled receptor GT01) (G-protein coupled receptor PGR4) (Omega-3 fatty acid receptor 1)	FFAR4 GPR120 GPR129 O3FAR1 PGR4
P51160	PDE6C_HUMAN	Cone cGMP-specific 3',5'-cyclic phosphodiesterase subunit alpha' (EC 3.1.4.35) (cGMP phosphodiesterase 6C)	PDE6C PDEA2
Q9NRZ9	HELLS_HUMAN	Lymphoid-specific helicase (EC 3.6.4.-) (Proliferation-associated SNF2-like protein) (SWI/SNF2-related matrix-associated actin-dependent regulator of chromatin subfamily A member 6)	HELLS PASG SMARCA6 Nbla10143
P33260	CP2CI_HUMAN	Cytochrome P450 2C18 (EC 1.14.14.1) (CYPIIC18) (Cytochrome P450-6b/29c)	CYP2C18
P33261	CP2CJ_HUMAN	Cytochrome P450 2C19 (EC 1.14.14.1) ((R)-limonene 6-monooxygenase) (EC 1.14.14.53) ((S)-limonene 6-monooxygenase) (EC 1.14.14.51) ((S)-limonene 7-monooxygenase) (EC 1.14.14.52) (CYPIIC17) (CYPIIC19) (Cytochrome P450-11A) (Cytochrome P450-254C) (Fenbendazole monooxygenase (4'-hydroxylating)) (EC 1.14.14.75) (Mephenytoin 4-hydroxylase)	CYP2C19
